,target,feature_names,baseline_score,baseline_std_dev,baseline_std_error,penalty_before_fs,regurilization_strength_before_fs,l1ratio_before_fs,penalty_score_before_fs,penalty_std_dev_before_fs,fs_score,fs_std_dev,fs_std_error,penalty_after_fs,regurilization_strength_after_fs,l1ratio_after_fs,penalty_score_after_fs,penalty_std_dev_after_fs,boost_score,boost_std_dev,boost_std_error,bag_score,bag_std_dev,bag_std_error,earlystop_score,earlystop_std_dev,earlystop_std_error,best_model_name,best_model_train_r2,best_model_holdout_r2,best_model_coef,best_model_intercept,predicted_values
0,proportion_diff_depr,"('fear', 'negative')",-0.20887628832613303,0.2620944264452674,0.1310472132226337,elasticnet,0.01,0.4,-0.14032417636460126,0.2543744067653959,0.044149164954996455,0.10499670679657562,0.0524983533982878,l2,0.1,0.0,-0.11867934856674997,0.26494007480992354,-0.14009623799159907,0.27312960379681467,0.13656480189840733,-0.11032313741662789,0.2561386915627467,0.12806934578137336,-0.11844262572253814,0.2706646496520355,0.13533232482601776,feature_selection_model,0.044149164954996455,0.06980852498078038,[-0.01302031 -0.03585977],0.001939589525125982,"[ 0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959 -0.03392018  0.00193959
  0.00193959 -0.01108072  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
 -0.03392018  0.00193959  0.00193959 -0.04694049 -0.04694049  0.00193959
  0.00193959  0.00193959 -0.03392018  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959 -0.04694049 -0.03392018  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959 -0.01108072  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
 -0.01108072  0.00193959  0.00193959 -0.04694049 -0.03392018  0.00193959
 -0.03392018  0.00193959  0.00193959  0.00193959  0.00193959 -0.04694049
  0.00193959  0.00193959 -0.01108072  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
 -0.04694049  0.00193959 -0.03392018  0.00193959  0.00193959  0.00193959
 -0.01108072 -0.04694049  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959  0.00193959 -0.04694049  0.00193959  0.00193959
  0.00193959 -0.04694049  0.00193959  0.00193959  0.00193959 -0.03392018
  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959  0.00193959
  0.00193959  0.00193959 -0.04694049  0.00193959  0.00193959 -0.03392018
  0.00193959 -0.04694049 -0.04694049  0.00193959 -0.04694049  0.00193959
  0.00193959]"
1,proportion_diff_anx,"('joy', 'negative', 'positive')",-0.07575123344056692,0.23239849768009496,0.11619924884004748,l2,0.1,0.0,-0.06437785132081301,0.19672313454793913,0.08596998280959936,0.08028145495611883,0.04014072747805941,none,0.001,0.0,-0.052639029928989875,0.1965791575321218,-0.059730507343848015,0.18735584806411884,0.09367792403205942,-0.05250676491305699,0.19494108583304903,0.09747054291652452,-0.04420465122523041,0.21191141232456534,0.10595570616228267,feature_selection_model,0.08596998280959936,0.07615882702025412,[ 0.03084654 -0.0550196  -0.04254869],0.011468262591974632,"[ 0.01146826  0.01146826 -0.03108042 -0.03108042 -0.03108042 -0.00023388
  0.01146826  0.01146826  0.01146826  0.01146826 -0.04355134  0.01146826
  0.04231481  0.01146826 -0.00023388  0.01146826  0.01146826  0.01146826
  0.01146826  0.01146826 -0.03108042 -0.00023388  0.01146826 -0.00023388
  0.01146826 -0.03108042  0.01146826  0.01146826  0.01146826  0.01146826
 -0.04355134 -0.03108042  0.01146826 -0.04355134 -0.04355134  0.01146826
  0.01146826 -0.03108042 -0.04355134  0.01146826  0.01146826 -0.03108042
  0.01146826 -0.00023388  0.01146826  0.01146826  0.01146826  0.01146826
  0.01146826 -0.04355134 -0.04355134 -0.03108042  0.01146826  0.01146826
  0.01146826  0.01146826  0.01146826  0.01146826  0.01146826  0.01146826
  0.01146826  0.01146826  0.01146826  0.01146826 -0.00023388  0.01146826
  0.01146826  0.01146826  0.01146826 -0.03108042 -0.00023388 -0.00023388
  0.01146826  0.01146826  0.01146826 -0.04355134 -0.04355134 -0.03108042
 -0.04355134 -0.03108042 -0.03108042  0.01146826  0.01146826 -0.04355134
  0.01146826  0.01146826  0.01146826  0.01146826  0.01146826  0.01146826
  0.01146826  0.01146826  0.01146826  0.01146826 -0.00023388  0.01146826
  0.01146826  0.01146826 -0.03108042 -0.03108042  0.01146826  0.01146826
 -0.04355134  0.01146826 -0.04355134 -0.03108042  0.01146826 -0.03108042
 -0.00023388 -0.04355134  0.01146826  0.01146826  0.01146826  0.01146826
  0.01146826 -0.03108042  0.01146826 -0.04355134  0.01146826 -0.03108042
 -0.03108042 -0.04355134  0.01146826 -0.03108042 -0.03108042 -0.04355134
  0.01146826  0.01146826  0.01146826 -0.03108042  0.01146826  0.01146826
  0.01146826  0.01146826 -0.04355134 -0.00023388 -0.00023388 -0.04355134
 -0.03108042 -0.04355134 -0.04355134  0.01146826 -0.04355134  0.01146826
  0.01146826]"
